Electric,Thermal, Mechanical Properties Estimation With Percolation Theory (ETMPEWPT) (2D version) 
Version 2.0 Percolation, Cluster Analysis,  Electric - Thermal - Mechanical properties
Report starting: ;Fri May 23 12:57:48 2025
---------------------------------------------------------------------------------------------------
Inputs
    |#; % Weights; % Spec.Weights; X Dimension; Y Dimension; Type; Size type;       Area;     hoop;
     0;      0,4;         1,6532;       1e-08;       1e-08;    4;         3;   0,349947;    5e-10
     1;      0,3;          1,328;       1e-08;       1e-08;    3;         0;   0,326731;    5e-10
     2;      0,3;          1,342;       1e-09;       1e-08;    1;         0;   0,323322;    5e-10
Pixels Per minimum Size (ppms):;101
Factor [ppms / minimumSize]:;1,01e+10
Maximum Dimension:;1e-08
Minimum Dimension:;1e-08
Grid size;1.000;x;1.000
Total iterations: ;200
---------------------------------------------------------------------------------------------------
Realization No;PercolateY[1]/N[0];Process Time;Setup Time               ;% Real Area Comp[0]              ;% Real Area Comp[1]              ;% Real Area Comp[2];Electric Conductivity;Thermal Conductivity;Young Modulus;Poisson Ratio;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
      1;                  1;     0,071;          0,147            ;0,348969            ;0,327523            ;0,323508;54,42283304624463369;54,42283304624463369;13.415.699,85065977275371552;0,30059169899252597;31,00000000000000000;1.610,09677419354829908;0,00056961385993372
      2;                  1;0,09400000000000000;0,17399999999999999            ;0,34250999999999998            ;0,33355200000000002            ;0,32393800000000000;23,98546520147522898;23,98546520147522898;10.523.694,66474413685500622;0,30140758184561994;93,00000000000000000;1.688,07526881720423262;0,00387734818644585
      3;                  1;0,10299999999999999;0,14799999999999999            ;0,34282100000000004            ;0,33365499999999998            ;0,32352399999999998;19,27188531495540857;19,27188531495540857;61.919.616,18087103217840195;0,30158493794295971;97,00000000000000000;1.527,23711340206182285;0,00503323875244971
      4;                  1;0,08400000000000001;0,13100000000000001            ;0,34564700000000004            ;0,33083099999999999            ;0,32352199999999998;15,51349728486069246;15,51349728486069246;48.487.956,86093441396951675;0,30201360336289323;132,00000000000000000;1.561,90151515151524109;0,00850871970234694
      5;                  1;0,05800000000000000;0,12500000000000000            ;0,34839899999999990            ;0,32800800000000002            ;0,32359300000000002;24,21721451893143495;24,21721451893143495;20.523.465,27461317926645279;0,30133586838447779;89,00000000000000000;1.617,55056179775283454;0,00367507171109318
      6;                  1;0,05900000000000000;0,11600000000000001            ;0,34515699999999994            ;0,33144099999999999            ;0,32340200000000002;23,68860209692624252;23,68860209692624252;17.024.897,36440734565258026;0,30138284151523792;91,00000000000000000;1.637,87912087912081915;0,00384150992226797
      7;                  1;0,07700000000000000;0,11200000000000000            ;0,34685500000000002            ;0,32903800000000000            ;0,32410699999999998;22,97153966899916711;22,97153966899916711;16.765.974,40618145279586315;0,30142904839351131;86,00000000000000000;1.641,37209302325572935;0,00374376298842780
      8;                  1;0,07099999999999999;0,14699999999999999            ;0,34929900000000003            ;0,32719700000000002            ;0,32350400000000001;21,52351666221906612;21,52351666221906612;39.300.465,05017425864934921;0,30145142568644800;93,00000000000000000;1.561,98924731182796677;0,00432085525146762
      9;                  1;0,07300000000000000;0,15800000000000000            ;0,34889599999999998            ;0,32756000000000002            ;0,32354400000000000;22,51604969397309475;22,51604969397309475;56.622.694,55413744598627090;0,30135560730071070;89,00000000000000000;1.526,14606741573038562;0,00395273599097726
     10;                  1;0,08400000000000001;0,12000000000000000            ;0,34568700000000008            ;0,33069199999999999            ;0,32362099999999999;18,26382939752375023;18,26382939752375023;12.364.494,97200298868119717;0,30184839621355775;116,00000000000000000;1.687,93965517241372254;0,00635135148687534
     11;                  1;0,07099999999999999;0,15300000000000000            ;0,34556799999999999            ;0,33056200000000002            ;0,32386999999999999;21,90089821471216780;21,90089821471216780;12.907.792,85212144628167152;0,30152669727692749;96,00000000000000000;1.671,80208333333325754;0,00438338186218823
     12;                  1;0,06500000000000000;0,12000000000000000            ;0,34942899999999999            ;0,32685999999999998            ;0,32371100000000003;23,99087367407177851;23,99087367407177851;28.711.926,24005544185638428;0,30132147473093474;84,00000000000000000;1.585,16666666666674246;0,00350133142882509
